word;isKeyWord;parent;children
acid;1;caid;
aide;0;bide;idea
atom;1;moat;
babe;0;bane;baby
baby;1;babe;
ball;1;mall;bell
band;1;bane;bind,hand
bane;0;bone;babe,band
bash;0;cash;bush
bear;1;sear;dear
bell;1;ball;well
bide;0;bine;aide,bike
bike;1;bide;
bind;0;band;bine,bird,wind
bine;0;bind;bide
bird;1;bind;
boat;1;boot;coat
body;1;bony;
bomb;1;boob;
bone;1;bony;bane,sone
bony;0;pony;body,bone
boob;0;book;bomb,boot
book;1;look;boob
boot;0;boob;boat,foot
bush;1;bash;
caid;0;card;acid,cain
cain;0;caid;coin,rain
card;1;ward;caid
case;0;cate;cash,lase
cash;1;case;bash
cate;0;gate;case,cite,date
chat;1;coat;
cite;0;cate;city
city;1;cite;
coat;1;boat;chat,goat
coin;1;cain;coon,icon
cold;1;gold;
coon;0;coin;loon
crab;1;drab;
data;1;date;
date;0;cate;data
dear;0;bear;deer,gear
deck;1;peck;
deer;1;dear;dree
disc;1;dish;
dish;0;pish;disc,fish
door;1;rood;
drab;0;draw;crab,dram
dram;0;drab;dray,drum
draw;1;ward;drab
dray;0;dram;xray
dree;0;deer;tree
drum;1;dram;
face;1;fare;
fare;0;fore;face,fire
fire;1;fare;
fish;1;dish;
flag;1;flog;slag
flog;0;golf;flag,frog
foot;1;boot;fort
fore;0;fort;fare,gore
fort;1;foot;fore
frog;1;flog;
game;1;tame;gate
gate;1;game;cate
gear;1;dear;lear
gill;0;mill;girl,hill
girl;1;gill;girn
girn;0;girl;ring
goad;0;goat;gold,road
goat;1;coat;goad,moat
gold;1;goad;cold,golf
golf;1;gold;flog,wolf
gore;0;fore;ogre
hail;0;rail;hair,mail
hair;1;hail;
hand;1;band;sand
head;1;heal;herd
heal;0;seal;head,peal
herd;0;head;hero
hero;1;herd;zero
hill;1;gill;pill
holy;1;poly;
hose;0;nose;rose,shoe
icon;0;coin;iron
idea;1;aide;
iron;1;icon;
jump;1;lump;
king;1;ring;
lase;0;case;lave,seal,vase
lave;0;lase;love,wave
leaf;1;lear;
lear;0;gear;leaf
lime;1;time;limp
limp;0;lime;lump
lion;1;loon;
lock;1;look;luck,rock
look;0;loon;book,lock
loon;0;coon;lion,look,moon
love;1;lave;
luck;1;lock;
lump;0;limp;jump
mail;1;hail;mall
mall;0;mail;ball,mill
meat;1;moat;neat,tame
milk;1;mill;
mill;0;mall;gill,milk
moat;0;goat;atom,meat
moon;1;loon;
neat;0;meat;nest
nest;1;neat;
nose;1;sone;hose
ogre;1;gore;
park;1;wark;
peak;1;peal;peck
peal;0;heal;peak
peck;0;peak;deck
pile;0;pill;pipe
pill;1;hill;pile
pipe;1;pile;
pish;0;ship;dish
plug;1;slug;
poly;0;pony;holy
pond;1;pood;pony
pony;1;pond;bony,poly
pood;0;rood;pond,pool,wood
pool;1;pood;
quin;0;ruin;quiz
quiz;1;quin;
rail;1;rain;hail
rain;1;cain;rail,ruin
ring;1;girn;king
road;1;goad;rood
rock;1;lock;sock
rood;0;road;door,pood
rose;1;hose;
ruin;0;rain;quin
sand;1;hand;sank
sank;0;sand;tank
seal;1;lase;heal,sear
sear;0;seal;bear,star
ship;1;shop;pish
shoe;1;hose;shop
shop;0;shoe;ship
slag;0;flag;slug
slug;0;slag;plug
snog;0;song;snow
snow;1;snog;
sock;1;rock;
sone;0;bone;nose,song
song;1;sone;snog
star;1;sear;
tame;0;meat;game,time
tank;1;sank;
time;1;tame;lime
tree;1;dree;
vase;1;lase;
wall;1;well;
ward;1;word;draw,card,wark
wark;0;ward;park,warm
warm;1;wark;warn
warn;0;warm;yarn
wave;1;lave;
well;1;bell;wall
wind;1;bind;
wolf;1;golf;
wood;1;pood;
word;1;worm;ward
worm;1;;word
xray;1;dray;
yarn;1;warn;
zero;1;hero;
